unit_order,unit_id,unit_title,A4095,CCCP578,Met-1981.373,P3465,P3471,R2536,P3473,P5881,P3475
11,dd8d1838-6f72-474d-a261-3e457701fd28,Burzoy Practices Medicine Without Pay or Envy of Colleagues,فأقبلت على مداواة المرضى رجاء ذلك فلم أدع مريضًا أرجو له البرء وأطمع له في خفّة الوجع إلّا بلغت في معالجته جهدي وإلّا وصفت له ومن قدرت على القيام عليه قمت عليه وفعلت به ذلك,فأقبلت على مداواة المرضى رجاء أجر الآخرة فلم أدع مريضًا أرجو له البرء ولا أطمع له في خفّة المرض والوجع إلّا بلغت في مداواته جهدي فمن قدرت على القيام عليه قمت عليه ومن لم,فأقبلت على مداواة المرضى ابتغاء الأجر ولم أدع مريضًا أرجو له البرء ولا أحدًا أرجو له الشفاء إلّا بلغت في ذلك جهدي فمن قدرت على القيام عليه قمت عليه ووصفت له وأمرته وأعطيته جميع ما يحتاج من الدواء,فأقبلت على مداواة المرضى ابتغاء أجر الآخرة فلم أدع مريضًا أرجو له البرء وآخر لا أرجو له ذلك إلّا أنّي أطمع أن يخفّ عنه بعض المرض إلّا بالغت في مداواته ما أمكنّي القيام عليه بنفسي ومن لم أقدر بالقيام عليه وصفت له ما يصلح وأعطيته من الدواء ما يتعالج به,فأقبلت على مداواة المرضى رجاء الآخرة فكم مريضًا أرجو له البرء وكم مريض لا أرجو له إلّا أنّي لأطمع في خفّة الوجع والأذى إلّا بالتعب في المداواة فمن أمكنني القيام عليه بنفسي أقمت عليه ومن لم أقدر على القيام عليه وصفت له وأعطيته ما يتعالج به من الدواء,مداواة المرضى ابتغاء الآخرة فلم أدع مريضًا أرجو له البرء ولا آخر لا أرجو له البرء إلّا إنّي أطمع على القيام به ومن لم أقدر على القيام به وصفت له وأمرت له ونهيت وأعطيت من الأدوية ما يحتاج إليها,فلازمت ذلك رجاء أجرة الآخرة فلم أدع مريضًا أرجو له البرء إلّا عالجته وإن كنت لا أرجو له بذلك فسحة في أجَله ولكن أطمع في ملاطفته في خفّة الوجع والأذى عنه ما قدرت عليه فمن أمكنني القيام عليه بنفسي قمت ومن لم أقدر على القيام عليه وصفت له وأمرته وأنلته ما يُعالج به من الدواء,فأقبلت على مداواة المرضى رجاء أجر الآخرة فلم أدع مريضًا أرجو له البرء إلّا بالغت في مداواته جهدي فمن قدرت على القيام عليه وضعت له ما يوافقه وأمرته بما ينبغي وأعطيته ما يحتاج إليه من الدواء,فأقبلت على مداواة المرضى رجاء أجر الآخرة ولم أدع مريضًا أرجو له البرء وآخر لا أرجو له البرء إلّا أنّي أطمع له في خفّة الوجع والأذى إلّا بلغت في مداواته جهدي من قدرت على القيام له قمت عليه ومن لم أقدر على القيام عليه وصفت له وأمرته وأعطيته ما يحتاج إليه من الدواء
12,a904bc36-78f0-4532-abbc-6ab57b9f32a2,Working Without Expecting Reward,ولم أرد لشيء من ذلك جزاء ولا مكافأة لمن فعلته به ولم أغبط من نظرائي ومن هو مثلي في العلم وفوقي في المال أحدًا إلّا بعين صلاح أو حسّ سيرة في الناس قولًا وعملًا,أقدر عليه ولا على القيام له وصفت له وأمرته وأعطيته ما يحتاج إليه من الدواء ولم أغتظ من نظرائي من هو فوقي أو مثلي في العلم والمال أحدًا إلّا أن يعين ذلك بصلاح وحسن سير في الناس قولًا وعملًا,ولم أرد من أحد ممّن فعلت به ذلك رجاء ولا مكافأة ولم أغبط نظرائي ومن هو مثلي في العلم وفوقي في المال إلّا بصلاح وحسن سيرة في الناس قولًا وعدلًا وعملًا,ولم أرد ممّن فعلت معه ذلك جزاء ولا مكافأة ولم أعظّم أحدًا من نظرائي الذين هم دوني في العلم وفوقي في الجاه والمال وغيرهم ممّن لا يعود بصلاح ولا حسن سيرة قولًا ولا عملًا,ولم أرد ممّن فعلت به ذلك جزاء ولم أغبط أحدًا من نظرائي ممّن هو مثلي في العلم وفوقي في المال والجاه وغير ذلك ممّن لا يعود إصلاح وحسن سيرة في الناس قولاً وعملاً,ولم أرد بمن فعلت ذلك جزاء ولا مكافأة ومن أغبط أحد من نظرائي ومن هو مثلي في العلم ويوفي في المثال والجاه وغير ذلك لحسن السيرة في الناس وصاحبي قولًا وعملًا,ولم أرد من أحد ممّن فعلت معه ذلك لا جزاء ولا مكافأة وكنت في أثناء ذلك أرى من هو دوني في العلم وفوقي في المنزلة والمال فلا يقطع ذلك عندي شيئًا وإنّما اجتهادي واعتنائي فيما أنا عليه وبصدده,ولم أرد من أحد ممّن فعلت به ذلك أجرًا ولا مكافأة ولم أغتظ من نظرائي ومن هو مثلي في العلم وفوقي في المال والجاه إلّا بغير ذلك بصلاح وحسن سيرة في الناس قولًا وعملًا,ولم أرد ممّن فعلت به ذلك جزاء ولا مكافأة ولم أغبط من نظرائي ومن هو مثلي في العلم وفوقي في المال والجاه أحدًا إلّا في صلاحه وحسن سيرته في الناس قولًا وفعلًا
13,3f35ce6e-9d5f-4844-b0fc-674661882ce3,Burzoy Reflects while Practicing,,,,,,,ففي بعض الأحايين وقع في نفسي شيء من ذلك وورد عليّ وارد منه فاستدركت في الحال ما فرط,,
14,9d4e3ba6-1745-4e03-9f0f-30ae8c9584b5,Addressing the Soul to Distinguish Its Benefits and Harms,وكنت أقرّع نفسي إذا هي نازعتني إلى أن تغبط أولئك وتتمنّى منازلهم وآبى لها إلّا الخصومة وأقول يا نفس أما تعرفين نفعك من ضرّك ألا تنتهي عن الرغبة فيما لم ينله أحد إلّا قلّ انتفاعه به وكثر عناؤه فيه واشتدّت ؟مورنيه عليه عند فراقه وعظمت التبعة عليه بعده,فلمّا تاقت نفسي ونازعتني وأبت إلّا أن أغبطهم وأتمنّى مثل منازلهم أبيت لها إلّا الخصومة وقلت يا نفس ألا تعرفين نفعك من ضرّك ألّا تنتهين عن تمنّي ما لم ينله أحد إلّا قلّ إمتاعه وكثر أعداؤه وخباله عليه واشتدّت البليّة وعظمت,وكنت أقرّع نفسي إذا هي نازعتني أن أغبط أولئك وأقول يا نفس ألا تعرفين نفعك من ضرّك ألا تنتهين عن الرغبة فيما لم ينله أحد إلّا قلّ متاعه وكثر عناؤه فيه واشتدّت بليّته عند فراقه إيّاه وعظمت المشقّة عليه فيه,ولمّا تاقت نفسي إلى غشيانهم وتمنّيت منازلهم أثبتّ لها الخصومة فقلت لها يا نفس أما تعرفين نفعك من ضرّك ألا تنتهين عن تمنّي ما لا يناله أحد إلّا قلّ انتفاعه وكثر عناؤه واشتدّت المؤونة عليه وعظمت المشقّة لديه بعد فراقه,فلمّا تاقت نفسي إلى ذلك ونازعتني إلى أن تغبطهم وتتمنّى مثل منازلهم أبيت لها إلّا الخصومة فقلت يا نفس ألا تعرفين نفعك من ضررك ألا تنتهين يا نفس ألا تعرفين نفعك من ضررك ألا تنتهين عن تمنّي ما لم ينله أحد إلّا قلّ انتفاعه به وكثر عناؤه فيه وعظمة التبعة عليه بعده,وكنت أقرع نفسي إذا هي نازعتني وتمنّي مثل منازلهم أبيت لها إلّا الخصومة وقلت لها يا نفس ألا تعرفين نفعك من ضرّك ألّا تنتهين عن تمنّي ما لم ينله أحد إلّا قلّ متاعه وكثر عناؤه وخباله عليه واشتدّت البليّة عند فراقه إيّاه وعظمت التبعة عليه فيه,وأقبلت على نفسي أخاطبها قائلًا لها يا نفس ألا تعرفين رشدك من غيّك ونفعك من ضرّك وصلاحك من فسادك ألا تنتهين عن تمنّي ما لم ينله أحد إلّا قلّ فراغه وكثر عناؤه وطال أمله وساء عمله واشتدّت المؤنة عليه وعظمت المشقّة عليه بعد فراقه ما صار إليه,فلمّا تاقت نفسي إلى ذلك ونازعتني أن تنال مثل منازلهم أبيت لها الخصومة فقلت لها يا نفسي ألا تعرفين نفعك من ضرّك ألا تنتبهين يا نفسي عن شيء ما لم ينله أحد إلّا قلّ امتاعه به وتعذّر استماعه وكثر عناؤه منه وقتاله فيه واشتدّت رزيّته عند قتاله فراقه وعظمت التبعة عليه بعده,فلمّا تاقت نفسي إلى ذلك ونازعت إلى أن تغبطهم في المال والجاه وتتمنّى مثل منازلهم أبيت لها إلّا الخصومة فقلت لها يا نفسي ألا تعرفين نفعك من ضررك ألا تنتهين عن تمنّي ما لم ينله أحد إلّا قلّ متاعه به وكثر عناؤه فيه وخباله عليه واشتدّت مرزيّته عليه عند فراقه وعظمت التبعة منه عليه بعده
15,38fa491e-2a95-4596-809c-c75b5d4324a7,Addressing the Soul to Be Ashamed of Its Greed for the Transient,يا نفس أما تذكرين ما أمامك فتنسي ما تشرهين إليه فيما بين يديك ألا تستحين من,يا نفس ألا تتفكّرين فيما بعد هذه الدنيا فينسيك ذلك ما تشرهين عليه من هذه الدار ألا تستحين من مشاركة الفجرة في حبّ هذه العاجلة الفانية التي من كان في يديه منها شيء فليس له وليس بباق معه والتي لا يألفها إلّا المغترّون الغافلون,يا نفس أما تذكرين ما أمامك فينسيك ما تشرهين إليه ممّا بين يديك أما تستحين من مشاركة الفجرة الجهّال في حبّ هذه الفانية البائدة التي من في يده منها شيء فليس له ثقة به ولا يألفها إلّا المغترّون,يا نفس أما تذكرين ما بعد هذه الدار فينسيك ما تشرهين إليه فيها ألا تستحين من مشاركة الفجّار في حبّ هذه العاجلة الفانية التي من كان في يده شيء منها فليس له وليس بباق عليه فلا يألفها إلّا المغترّون الجاهلون,يا نفس ألا تذكرين ما بعد هذه الدار فينسيك ما تشتاقين إليه من هذه ألا تستحين من مشاركة الجهّال في حبّ هذه العاجلة الفانية التي من في يده شيء منها فليس له وليس بباق عليه لا يألفها إلّا المفترون الغافلون,يا نفس ألا تذكرين ما بعد هذه الدار فتنسيك ما تشرهين إليه من حبّ هذه الدار ويا نفس أما تستحي من مشاركة الفجرة العجزة الجهّال في حبّ هذه العاجلة التي من كان في يده شيء منها فليس بدائم ولا باق فالتي لا يألفها أحد إلّا قلّ متاعه وكبر عناؤه,يا نفس ألا تذكرين ما بعد هذه الدار ألا تستحين من منازعة الجهّال والفجّار ألا ترجعين من عاجلة هذه الدار,يا نفس ألا تذكرين ما بعد هذه الدار ألا تستحين يا نفس من مشاركة الفجرة والجهّال في حبّ هذه العاجلة الفانية التي من كان في يديه منها شيء فليس له وليس هو باق عليه الذي لا يألفها أحد إلّا المفترون الغافلون,يا نفس ألا تذكرين ما بعد عنه الدار *فينسيك ذلك ما تشرهين إليه من هذه الدار ألا *تستحين من مشاركة العجزة الجهّال في {حبّ} هذه الفانية التي من كان في يده منها شيء فليس له قدر ما ليس بباق عليه والتي لا يفرح فيها أحد إلّا المفترون الغافلون
16,425dbef6-d72c-4091-9f7c-3629dfc7baa1,Addressing the Soul to Abandon Its Folly,يا نفس اقصري عن هذا السفه وما أنت عليه من خطل للرأي فيه وأقبلي بقوّتك ونفعك وما تملكين على تقديم الخير والأجر ما استطعت وإيّاك والتسويف والتواني,فانصرفي عن هذا السفه وأقبلي بقوّتك وقدرتك وما تملكين على تقديم الخير والأجر ما استطعت وإيّاك والتسويف,انصرفي يا نفس عن هذه السفاهة وما أنت عليه من خطئك وخطل الرأي وأقبلي بقوّتك ووسعك في تقديم الخير وإيّاك والتسويف والتواني,انظري في أمرك وانصرفي عن هذا السفه وأقبلي بقوّتك ...,انصرفي عن هذه المشقّة وأقبلي بقوّتك وسعيك وما تملكين على تقديم الخير والأجر ما استطعت وإيّاك والتسويف والتواني,ويا نفس انصرفي عن هذا السبب واقنعي بقوّتك وليكن سعيك وما تقدمين عليه من الخير والأجر ما استطعت وإيّاك والتسويف والأماني,فانظري في عاقبة أمرك وانصرفي عن غيّك وأقبلي بقوّتك وبما تملكيه على تقديم الخير وإيّاك والتسويف واحذري من ذلّ التوبيخ ومرارة التعنيف,انصرفي يا نفس عن هذه الدار الغرّارة وأقبلي بقوّتك واجتهادك على ما يدلّك على تقديم الخير والأجر للدار الباقية ما استطعت وإيّاك والتسويف,انصرفي يا نفس عن هذه الشقّة وأقبلي بقوّتك وما تملكين في تقديم الخير والأجر ما استطعت وإيّاك والتسويف
17,07d528dc-b896-4e77-b593-a3ec71c1dbab,The Body Consists of Harmful Elements ,واعلمي أنّ هذا الجسد ذو آفات وأنّه مملوء أخلاطًا فاسدة قذرة تجمعها أربعة أشياء متعادية متغالبة تعمدهنّ الحياة وهي إلى نفاد,واذكري أنّ هذا الجسد رخوًا ذو آفات وأنّه مملوء أخلاطًا فاسدة قذرة يجمعها أربعة أخلاط متغالبة متعادية,واعلمي أنّ لهذا الجسد آفات وأنّه مملوء أخلاطًا فاسدة يجمعها أربعة أشياء متعادية عمادهنّ الحياة والحياة في نفاد,واذكري أنّ هذا الجسد موجودًا للآفات وأنّه مملوءًا أخلاطًا فاسدة قذرة تعقّدها الحياة والحياة إلى نفاد,واذكري أنّ هذا الجسد جوف ذو آفات وأنّه مملوء أخلاطًا فاسدة قذرة تجمعها أربعة أخلاط متغالبة متعادية يعمرهنّ الحياة والحياة إلى نفاد,واعلمي أنّ هذا الجسد ذو آفات وأنّه مملوء أخلاطًا فاسدة قذرة تجمعها أربعة أخلاط متغالبة متعادية تغذوهنّ الحياة والحياة إلى نفاد,واعلمي أنّ هذا الجسد القائم معدن الآفات وقد مُلئ من أخلاط فاسدة رديّة قذرة يجمعها أربع طبائع متضادّة بفقد أحدها تفقدي الحياة والجسد,واذكري أنّ هذا الجسد ذو آفات وأنّه مملوء أخلاطًا فاسدة قذرة تجمعها أخلاطًا متعادية متغالبة يا نفس تريدين الحياة والحياة لا بقاء لها,واذكري أنّ هذا الجسد ذو آفات وأنّه مملوء أخلاطًا متغالبة متعادية تفقدهنّ الحياة <والحياة> إلى نفاد
18,1ce81b50-6e61-4b0b-8e2a-13fd471aa438,The Idol That Falls Apart,كالصنم المفصّل أعضاؤه إذا رُكّبت جمعها مسمار واحد وأمسك بعضها على بعض فإذا أُخذ المسمار تساقطت الأوصال,,كالصنم المفصّل أعضاؤه إذا رُكّبت جميعها بمسمار واحد استمسك بعضها إلى بعض فإذا نُزع ذلك المسمار تساقطت الأوصال,كالصنم المفصّلة أعضاؤه إذا رُكّبت ووُضعت يجمعها مسمار واحد يشدّ بعضه بعضًا فإذا أُخذ ذلك المسمار تساقطت الأوصال,كالصنم المفصّلة أعضاؤه فإذا رُكّبت ووُضعت مواضعها جمعها مسمار واحد فإذا نُزع المسمار من موضعه تساقطت الأوصال,كالصنم المفصّل أعضاؤه ثمّ إذا رُكّبت تلك الأعضاء وضعت مواضعها بمسمار واحد يمسك بعضها على بعض فإذا أُخذ ذلك المسمار تساقطت الأوصال,كالصنم المفصّلة أعضاؤه ثمّ إذا رُكّبت الأعضاء في مواضعها جمعها مسمار واحد يمسكها بعضها على بعض فإذا أُخذ المسمار الماسك لذلك تساقطت الأوصال,كالصنم المفصّل أعضاؤه ثمّ إذا ركّبت تلك الأعضاء ووضعت مواضعها مسمارًا واحدًا يمسك بعضها على بعض فإذا أُخذ ذلك المسمار تساقطت الأوصال,كالصنم المفصّل أعضاؤه ثمّ إذا رُكّبت تلك الأعضاء ووُضعت مواضعها جمعها مسمار واحد يمسك بعضها على بعض فإذا أُخذ المسمار تساقطت الأوصال
19,4d06f9b8-3368-41e3-a701-2635e22cd767,Addressing the Soul: The Friend Passes Away,يا نفس لا تغترّي بصحبة أحبّائك وأخلّائك ولا تحرصي على ذلك فإنّها على ما فيها من السرور والبهجة كثيرة الأذى والمؤنات والأحزان ثمّ يُختم ذلك بقطع الفراق,يا نفس ولا تغترّي بصحبة أحبابك وأخلّائك ولا تحرصي على ذلك كلّ الحرص فإنّ صحبتهم على ما فيها من السرور كثيرة الأذى,يا نفس لا تغترّين بصحبة أحبّائك وأخلّائك ولا تحرصي على ذلك فإنّ الصحبة على ما فيها من السرور والبهجة كثيرة الأذاء والمؤنات والأحزان ثمّ يُختم ذلك بقطع الفراق,يا نفس لا تغترّي بصحبة أحبابك وأصحابك ولا تحرصي على ذلك كلّ الحرص فإنّ صحبتهم على ما فيها من السرور كثيرة المؤنة وعاقبة ذلك الفراق,يا نفس لا تغترّي بصحبة أحبابك وخلّانك ولا تحرصي على ذلك كلّ الحرص فإنّ صحبتهم على ما فيها من السرور كثيرة الأذى والمؤن والأحزان ثمّ يُختم ذلك بعاقبة الفراق,ويا نفس لا تغترّي بصحبة أحبّائك وأخلّائك ولا تحرصي على ذلك كلّ الحرص فإنّ صحبتهم على ما فيها من السرور والبهجة كثيرة الأذى والمرارات والأحزان ثم يُختم ذلك بخاتمة الفراق,يا نفس لا تغترّي بصحبة من تحبّيه وتميلي إليه فإنّ آخر الصحبة الفراق,يا نفس لا تغترّي بصحبة أحبابك أخلّائك ولا تحرصي كلّ الحرص فإنّ صحبتها على ما فيها من السرور والبهجة كثيرة الأذى الأحزان ثمّ يُختم ذلك بعاقبة الفراق,يا نفسي لا تغترّي بصحبة أحبابك وأخلّائك ولا تحرصي على ذلك كلّ الحرص فإنّ صحبتهم على ما فيها كثيرة الشرور والأذى والمؤنات والأحزان ثمّ يُختم بعد ذلك بعاقبة الفراق
20,b86421b9-93b1-40d6-aa6f-87503fc992f5,A Ladle Eventually Breaks,كالمغرفة تُستعمل في صحّتها وجدّتها في حرارة المرق وسخونته فإذا هي انكسرت صار عاقبة أمرها إلى النار,فمثلها مثل المغرفة التي تُستعمل في سخونة المرق فإذا انكسرت صارت عاقبتها إلى الحرق بالنار,ومثل ذلك مثل المغرفة التي تُستعمل في المرق السخن فإذا هي بليت وانكسرت صار عاقبة أمرها أن تُحرق بالنار,ومثلها مثل المغرفة التي تُستعمل في جدّتها لسخونة المرق فإذا انكسرت صارت وقودًا,فمثله في ذلك مثل المغرفة التي تُستعمل في سخونة المرق في جدّتها وصحّتها وإذا انكسرت صارت عاقبتها أن تُحرق بالنار,فمثل ذلك كمثل المغرفة التي تُستعمل في سخن المرق في جدّتها فإذا تكسّرت صارت عاقبة أمرها أن تُحرق بالنار,,فمثله في ذلك مثل المغرفة التي تستعمل في سخونة المرق في صحتّها وجدّتها فإذا انكسرت كان عاقبة أمرها إلى أن تحترق بالنار,مثل المغرفة التي تُستعمل في سخونة المرق في جدّتها وصحّتها فإذا انكسرت صارت عاقبة أمرها إلى أن تُحرق بالنّار
21,64740c9a-809d-4f5d-a126-edaa9b0797a1,Addressing the Soul: The Family Passes Away,يا نفس لا يحملنّك ما تريدين من صلة أهلك وأقاربك والتماس رضاهم على جمع ما تهلكين فيه,ويا نفس لا يحملنّك أهلك وقرابتك على جمع ما تهلكين في جمعه تريدين به صلتهم ورضاهم,يا نفس لا تحملنّك صلة أحبابك وأقاربك والتماس رضاهم على جمع ما تهلكين فيه,يا نفس لا يحملنّك أهلك وأقاربك على جمع ما تهلكين فيه إرادة صلتهم,ويا نفس لا يحملك أهلك وأقاربك على جميع ما تهلكين في جمعه تريدين بذلك صلتهم ورضاهم,ويا نفس لا تحملنّك صلة أقاربك على جمع ما تهلكين في جمعه إرادة صلتهم ورضاهم,يا نفس لا يحملنّك أهلك وأقاربك على جمع ما تهلكين به طلبًا لصلتهم,يا نفس لا يحملك أهلك وأقاربك إلى جمع ما تهلكين في جمعه تريدين بذلك صلتهم ورضاهم,يا نفس لا تحملنّك أهلك وأقاربك على جميع ما تهلكلين في جميعه تطلبين بذلك صلتهم ورضاهم فتكوني
22,9b818cff-d9c6-458e-ae56-25aef8a59e4c,Incense Burns,فإذا أنت كالدخنة الطيّبة التي تحترق ويذهب بعرفها آخرون,فإذا أنت كالدخنة الطيّبة التي تحترق ويلتذّ بعرفها آخرون,فتكونين كالدخنة الطيّبة التي تحترق فيطيب بطيبها غيرها,فإذا أنت كالدخنة الأرجة التي تحترق ويذهب آخرون بريحها,,فتكون كالدّخنة الطيّبة التي تحترق فيذهب بريحها الناس,فتكوني كالدخنة الأرجة الطيّبة الرائحة التي تُحرق فيلتذّ بها من شمّها وتذهب الأرج منها فتضمحلّ,فإذا أنت كالذبيحة الطيّبة التي تحترق وتذهب بطيبها غيرك,كالدخنة الطيّبة التي تحرق نفسها ويذهب بعرفها آخرون
23,e88b95b1-e52a-44aa-8235-895ec3db87e6,A Wick Burns,وكالذبالة تضيء لغيرها باحتراقها,,,,,,,,
24,0a2270ea-953c-4301-b87d-0d5c2e889162,Addressing the Soul: Wealth Passes Away,يا نفس لا تغترّي بالغنى والمنزلة التي تبطر أهلها فإنّها إلى انقلاب وإنّ صاحب ذلك لا يبصر صغر ما يستعظم حتّى يفارقه,ولا تغترّي بالغنى والمنزلة التي ينظر أهلها فإنّ صاحب ذلك لا يبصر صغر ما يستعظم حتّى يفارقه,يا نفس لا تغترّي بالغنى والمنزلة ولا تطمئنّي إليهما فإنّهما إلى انقلاب وانتقال,,يا نفس لا تغترّي بالغنى والمنزلة ولا تطمئنّي إليهما فإنّ صاحب ذلك لا يبصر صغيرًا ما يُستعظم منه حتّى يفارقه,ويا نفس لا تغترّي بالغناء والمنزلة التي تبطّر أهلها فإنّ ذلك وصاحبه لا يبصر صغير ما يستعظم حتّى يفارقه,,يا نفس لا تركني إلى هذه الدار الفانية ولا تغترّي بالبقاء والمنزلة التي تبطر أهلها إليها فإنّ صاحب ذلك لا يبصر صغيرًا ما لم يستطعم حتّى يفارقه,يا نفس لا تغترّي بالغنى والمنزلة التي ينظر أهلها فإنّ صاحب ذلك لا يبصر صغير ما يستعظم حتّى يفارقه
25,4523bad0-89b6-4479-a52d-5ee2aa99d9ec,Shed Hair is Thrown Away,فيكون كشعر الرأس الذي يكرمه صاحبه ويخدمه ما دام على رأسه فإذا فارق رأسه قذره وقزّ منه,فيكون مثله في ذلك كشعر الرأس الذي يكرمه صاحبه ويخدمه ويطيّبه ما دام على رأسه فإذا فارقه قذره وفرّ منه,,,فيكون كشعر الرأس الذي يخدمه صاحبه ما دام على رأسه فإذا سقط عنه رمى به وقذره,فيكون كشعر الرأس الذي يكرمه صاحبه ويخدمه ما دام على رأسه فإذا فارق رأسه فرّ منه,,فيكون كشعر الرأس الذي يخدمه صاحبه ما دام على رأسه فإذا فارق الرأس استقذره وفرّ منه,فتكوني كشعر الرأس الذي يخدمه صاحبه ما دام على رأسه فإذا فارق رأسه قذره وفرّ منه
